EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,INJURIES_DIRECT,DEATHS_DIRECT
5540002,IOWA,1996,January  ,Heavy Snow,0,2
5538890,WISCONSIN,1996,January  ,Blizzard,0,1
5546161,PENNSYLVANIA,1996,January  ,Blizzard,0,4
5539287,ARIZONA,1996,January  ,Dust Storm,17,0
5543274,NEW JERSEY,1996,January  ,Flood,0,1
5543041,MARYLAND,1996,January  ,Lightning,1,0
5543256,PENNSYLVANIA,1996,January  ,Flood,2,0
5543255,PENNSYLVANIA,1996,January  ,Flood,0,3
5543252,PENNSYLVANIA,1996,January  ,Flood,1,0
5544777,WASHINGTON,1996,January  ,Cold/Wind Chill,0,1
5544776,WASHINGTON,1996,January  ,Cold/Wind Chill,0,1
5569986,PENNSYLVANIA,1996,January  ,Flash Flood,0,6
5543443,PENNSYLVANIA,1996,January  ,Flood,0,1
5560815,OREGON,1996,January  ,Thunderstorm Wind,0,1
5541968,NORTH CAROLINA,1996,January  ,Heavy Snow,0,1
5543269,NEW JERSEY,1996,January  ,High Wind,2,0
5569989,PENNSYLVANIA,1996,January  ,Flash Flood,0,1
5542612,KENTUCKY,1996,January  ,Thunderstorm Wind,2,0
5542601,MISSOURI,1996,January  ,Tornado,1,0
5562139,CONNECTICUT,1996,January  ,Thunderstorm Wind,1,0
5542613,KENTUCKY,1996,January  ,Tornado,2,0
5554216,VERMONT,1996,January  ,Flood,0,2
5569356,OHIO,1996,January  ,Winter Storm,0,1
5543245,NEW JERSEY,1996,January  ,Flood,1,0
5556445,MAINE,1996,January  ,Flood,1,0
5554226,VERMONT,1996,January  ,High Wind,1,0
5540871,VIRGINIA,1996,January  ,Blizzard,1,0
5539723,IOWA,1996,January  ,Blizzard,0,1
5538792,ARKANSAS,1996,January  ,Thunderstorm Wind,3,0
5538494,SOUTH DAKOTA,1996,January  ,Blizzard,1,0
5543025,PENNSYLVANIA,1996,January  ,Heavy Snow,1,0
5543022,PENNSYLVANIA,1996,January  ,Heavy Snow,1,0
5543021,PENNSYLVANIA,1996,January  ,Heavy Snow,0,1
5569804,PENNSYLVANIA,1996,January  ,Flash Flood,0,1
5546181,NEW JERSEY,1996,January  ,Blizzard,0,1
5546180,NEW JERSEY,1996,January  ,Blizzard,0,1
5546173,NEW JERSEY,1996,January  ,Winter Storm,0,1
5546167,PENNSYLVANIA,1996,January  ,Blizzard,0,1
5546164,PENNSYLVANIA,1996,January  ,Blizzard,0,1
5546162,PENNSYLVANIA,1996,January  ,Blizzard,0,1
5537434,PENNSYLVANIA,1996,January  ,Heavy Snow,0,1
5537373,ALABAMA,1996,January  ,Tornado,3,1
5541966,NORTH CAROLINA,1996,January  ,Heavy Snow,0,1
5541964,NORTH CAROLINA,1996,January  ,Heavy Snow,1,0
5543066,MARYLAND,1996,January  ,Flood,2,0
5569800,PENNSYLVANIA,1996,January  ,Flash Flood,0,1
5538285,SOUTH DAKOTA,1996,January  ,Ice Storm,1,3
5538576,WISCONSIN,1996,January  ,Cold/Wind Chill,7,0
5535845,TEXAS,1996,January  ,Tornado,5,0
5542404,MISSOURI,1996,January  ,Thunderstorm Wind,1,0
5542222,VIRGINIA,1996,January  ,Heavy Snow,0,1
5545610,NEW YORK,1996,January  ,Flash Flood,0,6
5541136,MARYLAND,1996,January  ,Blizzard,0,1
5541133,MARYLAND,1996,January  ,Blizzard,150,0
5541127,MARYLAND,1996,January  ,Blizzard,0,1
5538676,MISSISSIPPI,1996,January  ,High Wind,1,0
5538500,SOUTH DAKOTA,1996,January  ,Blizzard,0,1
5535588,ILLINOIS,1996,January  ,Winter Storm,2,0
5538282,SOUTH DAKOTA,1996,January  ,Ice Storm,15,0
5538403,MINNESOTA,1996,January  ,Blizzard,0,1
5538088,WISCONSIN,1996,January  ,Cold/Wind Chill,0,1
5538297,WISCONSIN,1996,January  ,Cold/Wind Chill,0,1
5556653,NEW HAMPSHIRE,1996,January  ,Avalanche,1,1
5541343,MARYLAND,1996,January  ,Flash Flood,1,0
5538566,WISCONSIN,1996,January  ,Cold/Wind Chill,1,0
5538447,NORTH DAKOTA,1996,January  ,Cold/Wind Chill,0,1
5538446,NORTH DAKOTA,1996,January  ,Cold/Wind Chill,0,1
5537602,TEXAS,1996,January  ,High Wind,0,3
5535709,NEBRASKA,1996,January  ,Cold/Wind Chill,2,0
5535830,TEXAS,1996,January  ,Cold/Wind Chill,0,1
5536048,TEXAS,1996,January  ,Cold/Wind Chill,0,4
5535550,ILLINOIS,1996,January  ,Winter Storm,2,0
5556667,NEW HAMPSHIRE,1996,January  ,Heavy Snow,1,0
5569363,OHIO,1996,January  ,Winter Storm,0,1
5538562,WISCONSIN,1996,January  ,Cold/Wind Chill,0,1
5536214,FLORIDA,1996,January  ,High Wind,5,0
5536955,SOUTH CAROLINA,1996,January  ,Cold/Wind Chill,0,2
5574627,LOUISIANA,1996,January  ,Tornado,3,0
5553420,NEW YORK,1996,January  ,Flood,0,1
5541122,VIRGINIA,1996,January  ,Flood,0,4
5535507,MISSISSIPPI,1996,January  ,Tornado,1,0
5538033,MISSOURI,1996,January  ,Thunderstorm Wind,1,0
5535574,ILLINOIS,1996,January  ,Winter Storm,2,0
5536088,TEXAS,1996,January  ,High Wind,2,0
5559335,MAINE,1996,January  ,Heavy Rain,4,0
5574649,KANSAS,1996,January  ,High Wind,0,1
5541089,VIRGINIA,1996,January  ,Flash Flood,0,1
5536213,FLORIDA,1996,January  ,High Wind,1,0
5536209,KANSAS,1996,January  ,Winter Storm,1,1
5536210,FLORIDA,1996,January  ,Tornado,9,0
5569819,PENNSYLVANIA,1996,January  ,Flash Flood,0,4
5538043,COLORADO,1996,January  ,High Wind,3,0
5538457,LOUISIANA,1996,January  ,Tornado,30,0
5538189,NEBRASKA,1996,January  ,Winter Storm,0,1
5541380,WEST VIRGINIA,1996,January  ,Flash Flood,0,1
5535993,INDIANA,1996,January  ,High Wind,0,1
